Combustion Inc. Probe Data,,,,,,,,,,,,,,,,,,,,,,
App: iOS Prod app 3.0.0,,,,,,,,,,,,,,,,,,,,,,
CSV version: 4,,,,,,,,,,,,,,,,,,,,,,
Probe S/N: 1000BA3C,,,,,,,,,,,,,,,,,,,,,,
Probe FW version: v2.2.3,,,,,,,,,,,,,,,,,,,,,,
Probe HW revision: v1.1-A1,,,,,,,,,,,,,,,,,,,,,,
Framework: iOS,,,,,,,,,,,,,,,,,,,,,,
Sample Period: 5000,,,,,,,,,,,,,,,,,,,,,,
Created: 2025-10-17 10:35:14,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Timestamp,SessionID,SequenceNumber,T1,T2,T3,T4,T5,T6,T7,T8,VirtualCoreTemperature,VirtualSurfaceTemperature,VirtualAmbientTemperature,EstimatedCoreTemperature,PredictionSetPoint,VirtualCoreSensor,VirtualSurfaceSensor,VirtualAmbientSensor,PredictionState,PredictionMode,PredictionType,PredictionValueSeconds
0,1362345282,0,26.1,26.05,25.95,25.85,25.7,25.6,25.1,24.8,26.1,25.6,24.8,26.1,0,T1,T6,T8,Probe Not Inserted,None,None,131071
5,1362345282,1,25.35,25.3,25.25,25.1,25.5,25.45,25.35,25.35,25.35,25.1,25.5,25.7,0,T1,T4,T5,Probe Not Inserted,None,None,131071
10,1362345282,2,24.9,24.75,24.7,24.55,25,25.15,25.45,25.75,24.9,24.55,25.75,25.3,0,T1,T4,T8,Probe Not Inserted,None,None,131071
15,1362345282,3,31.45,30.6,29.9,30.1,26.25,25.75,25.75,26.1,31.45,30.1,26.1,28.3,0,T1,T4,T8,Probe Inserted,None,None,131071
20,1362345282,4,33.35,33,32.6,32.55,29.1,27.95,26.8,26.4,33.35,32.55,26.4,30.8,0,T1,T4,T8,Probe Inserted,None,None,131071
25,1362345282,5,34.15,33.8,33.5,33.5,31.2,29.85,28,26.75,34.15,33.5,26.75,32.5,0,T1,T4,T8,Probe Inserted,None,None,131071
30,1362345282,6,34.7,34.25,34.05,34.05,32.5,31.2,28.95,26.95,34.7,34.05,26.95,33.6,0,T1,T4,T8,Probe Inserted,None,None,131071
35,1362345282,7,35.3,34.7,34.5,34.45,33.55,32.25,29.9,27.4,35.3,34.45,27.4,34.4,0,T1,T4,T8,Probe Inserted,None,None,131071
40,1362345282,8,35.7,35,34.85,34.75,34.15,33,30.75,27.9,35.7,34.75,27.9,35.1,0,T1,T4,T8,Probe Inserted,None,None,131071
45,1362345282,9,36,35.25,35.1,35,34.6,33.6,31.5,28.4,36,35,28.4,35.5,0,T1,T4,T8,Probe Inserted,None,None,131071
50,1362345282,10,36.25,35.45,35.3,35.2,34.9,34.05,32.05,28.8,36.25,35.2,28.8,35.9,0,T1,T4,T8,Probe Inserted,None,None,131071
55,1362345282,11,36.45,35.6,35.5,35.35,35.15,34.45,32.4,29.3,36.45,35.35,29.3,36.2,0,T1,T4,T8,Probe Inserted,None,None,131071
60,1362345282,12,36.65,35.75,35.6,35.45,35.3,34.6,32.75,29.55,36.65,35.45,29.55,36.4,0,T1,T4,T8,Probe Inserted,None,None,131071
65,1362345282,13,36.75,35.9,35.75,35.6,35.4,34.85,33.05,30.05,36.75,35.6,30.05,36.5,0,T1,T4,T8,Probe Inserted,None,None,131071
70,1362345282,14,36.85,36.05,35.8,35.65,35.55,34.95,33.25,30.35,36.85,35.65,30.35,36.7,0,T1,T4,T8,Probe Inserted,None,None,131071
75,1362345282,15,36.95,36.1,35.9,35.75,35.65,35.1,33.45,30.7,36.95,35.75,30.7,36.8,0,T1,T4,T8,Probe Inserted,None,None,131071
80,1362345282,16,37,36.2,36,35.8,35.75,35.15,33.6,31,37,35.8,31,36.9,0,T1,T4,T8,Probe Inserted,None,None,131071
85,1362345282,17,37.05,36.3,36.1,35.9,35.75,35.25,33.7,31.15,37.05,35.9,31.15,37,0,T1,T4,T8,Probe Inserted,None,None,131071
90,1362345282,18,37.15,36.35,36.15,35.95,35.85,35.35,33.85,31.45,37.15,35.95,31.45,37,0,T1,T4,T8,Probe Inserted,None,None,131071
95,1362345282,19,37.2,36.45,36.2,36,35.85,35.4,33.95,31.55,37.2,36,31.55,37.1,0,T1,T4,T8,Probe Inserted,None,None,131071
100,1362345282,20,37.25,36.5,36.25,36.05,35.9,35.5,34.1,31.85,37.25,36.05,31.85,37.2,0,T1,T4,T8,Probe Inserted,None,None,131071
105,1362345282,21,37.3,36.6,36.3,36.1,36,35.5,34.2,32.05,37.3,36.1,32.05,37.2,0,T1,T4,T8,Probe Inserted,None,None,131071
110,1362345282,22,37.35,36.65,36.35,36.1,36.05,35.55,34.25,32.2,37.35,36.1,32.2,37.3,0,T1,T4,T8,Probe Inserted,None,None,131071
115,1362345282,23,37.4,36.7,36.4,36.2,36.1,35.6,34.4,32.45,37.4,36.2,32.45,37.3,0,T1,T4,T8,Probe Inserted,None,None,131071
120,1362345282,24,37.45,36.75,36.45,36.2,36.05,35.65,34.45,32.65,37.45,36.2,32.65,37.4,0,T1,T4,T8,Probe Inserted,None,None,131071
125,1362345282,25,37.5,36.8,36.45,36.25,36.2,35.6,34.55,32.85,37.5,36.25,32.85,37.4,0,T1,T4,T8,Probe Inserted,None,None,131071
130,1362345282,26,37.55,36.8,36.5,36.3,36.1,35.65,34.55,32.95,37.55,36.3,32.95,37.5,0,T1,T4,T8,Probe Inserted,None,None,131071
