Combustion Inc. Probe Data
App: iOS Prod app 2.1.1
CSV version: 4
Probe S/N: 100098DE
Probe FW version: v1.5.4
Probe HW revision: v1.1-A1
Framework: iOS
Sample Period: 5000
Created: 2025-05-30 13:51:07

Timestamp,SessionID,SequenceNumber,T1,T2,T3,T4,T5,T6,T7,T8,VirtualCoreTemperature,VirtualSurfaceTemperature,VirtualAmbientTemperature,EstimatedCoreTemperature,PredictionSetPoint,VirtualCoreSensor,VirtualSurfaceSensor,VirtualAmbientSensor,PredictionState,PredictionMode,PredictionType,PredictionValueSeconds
0.000,961742059,0,22.85,22.85,22.85,22.85,23.20,23.35,23.25,23.20,22.85,22.85,23.35,22.80,0.00,T1,T4,T6,Probe Not Inserted,None,None,131071
5.000,961742059,1,22.85,23.35,23.75,24.35,23.80,24.10,23.90,23.80,22.85,24.35,24.10,22.80,0.00,T1,T4,T6,Probe Not Inserted,None,None,131071
10.000,961742059,2,22.85,23.20,23.65,24.00,24.40,25.30,25.10,24.60,22.85,24.40,25.30,22.80,0.00,T1,T5,T6,Probe Not Inserted,None,None,131071
15.000,961742059,3,31.70,29.20,30.05,30.65,26.65,27.20,26.40,25.70,31.70,26.65,25.70,27.30,0.00,T1,T5,T8,Probe Inserted,None,None,131071
20.000,961742059,4,33.05,31.75,32.90,33.30,30.20,30.15,28.55,26.85,33.05,30.20,26.85,30.10,0.00,T1,T5,T8,Probe Inserted,None,None,131071
25.000,961742059,5,33.65,32.95,34.10,34.50,32.65,32.30,30.25,27.75,33.65,32.65,27.75,31.90,0.00,T1,T5,T8,Probe Inserted,None,None,131071
30.000,961742059,6,34.15,33.80,34.85,35.25,34.20,33.80,31.70,28.40,34.15,34.20,28.40,33.00,0.00,T1,T5,T8,Probe Inserted,None,None,131071
35.000,961742059,7,34.60,34.45,35.35,35.80,35.20,34.80,32.65,28.95,34.60,35.20,28.95,33.80,0.00,T1,T5,T8,Probe Inserted,None,None,131071
40.000,961742059,8,34.95,35.00,35.80,36.15,35.90,35.60,33.35,30.05,34.95,35.90,30.05,34.40,0.00,T1,T5,T8,Probe Inserted,None,None,131071
45.000,961742059,9,35.25,35.35,36.10,36.45,36.35,36.05,34.00,32.60,35.25,36.35,32.60,34.80,0.00,T1,T5,T8,Probe Inserted,None,None,131071
