Combustion Inc. Probe Data
App: iOS Prod app 2.1.1
CSV version: 4
Probe S/N: 1000BA3C
Probe FW version: v1.5.3
Probe HW revision: v1.1-A1
Framework: iOS
Sample Period: 5000
Created: 2025-05-30 17:59:37

Timestamp,SessionID,SequenceNumber,T1,T2,T3,T4,T5,T6,T7,T8,VirtualCoreTemperature,VirtualSurfaceTemperature,VirtualAmbientTemperature,EstimatedCoreTemperature,PredictionSetPoint,VirtualCoreSensor,VirtualSurfaceSensor,VirtualAmbientSensor,PredictionState,PredictionMode,PredictionType,PredictionValueSeconds
0.000,3099349337,0,25.40,25.55,25.65,25.70,25.80,25.70,25.50,25.10,25.40,25.70,25.10,25.40,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
5.000,3099349337,1,25.00,25.10,25.30,25.25,25.25,25.20,25.05,24.90,25.00,25.20,24.90,25.20,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
10.000,3099349337,2,24.60,24.65,24.80,24.55,24.55,24.55,24.65,24.70,24.60,24.55,24.70,24.90,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
15.000,3099349337,3,24.35,24.40,24.45,24.10,24.10,23.95,24.15,24.35,24.35,23.95,24.35,24.60,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
20.000,3099349337,4,24.10,24.05,24.05,23.75,23.60,23.40,23.60,23.90,24.10,23.40,23.90,24.30,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
25.000,3099349337,5,23.80,23.80,23.75,23.45,23.30,23.25,23.30,23.60,23.80,23.25,23.60,24.00,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
30.000,3099349337,6,23.60,23.60,23.65,23.35,22.95,23.05,23.10,23.40,23.60,23.05,23.40,23.80,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
35.000,3099349337,7,23.35,23.45,23.50,23.35,23.10,22.95,23.10,23.35,23.35,22.95,23.35,23.60,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
40.000,3099349337,8,23.15,23.25,23.35,23.30,23.05,23.05,23.00,23.25,23.15,23.05,23.25,23.40,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
45.000,3099349337,9,23.05,23.10,23.15,23.10,23.00,23.05,23.15,23.30,23.05,23.05,23.30,23.20,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
50.000,3099349337,10,22.95,23.00,23.00,22.90,22.90,23.00,23.10,23.30,22.95,23.00,23.30,23.00,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
55.000,3099349337,11,22.75,22.75,22.75,22.65,22.80,22.85,23.00,23.20,22.75,22.85,23.20,22.90,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
60.000,3099349337,12,22.65,22.65,22.60,22.50,22.65,22.65,22.80,23.05,22.65,22.65,23.05,22.70,0.00,T1,T6,T8,Probe Not Inserted,None,None,131071
65.000,3099349337,13,30.80,30.45,29.45,30.35,25.45,24.60,23.70,23.15,30.80,24.60,23.15,26.80,0.00,T1,T6,T8,Probe Inserted,None,None,131071
