Combustion Inc. Probe Data,,,,,,,,,,,,,,,,,,,,,,
App: iOS Prod app 2.1.1,,,,,,,,,,,,,,,,,,,,,,
CSV version: 4,,,,,,,,,,,,,,,,,,,,,,
Probe S/N: 1000F3C1,,,,,,,,,,,,,,,,,,,,,,
Probe FW version: v2.2.1,,,,,,,,,,,,,,,,,,,,,,
Probe HW revision: v2.11-A1,,,,,,,,,,,,,,,,,,,,,,
Framework: iOS,,,,,,,,,,,,,,,,,,,,,,
Sample Period: 5000,,,,,,,,,,,,,,,,,,,,,,
Created: 2025-05-23 09:11:59,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Timestamp,SessionID,SequenceNumber,T1,T2,T3,T4,T5,T6,T7,T8,VirtualCoreTemperature,VirtualSurfaceTemperature,VirtualAmbientTemperature,EstimatedCoreTemperature,PredictionSetPoint,VirtualCoreSensor,VirtualSurfaceSensor,VirtualAmbientSensor,PredictionState,PredictionMode,PredictionType,PredictionValueSeconds
0,2182780059,0,19.35,19.4,19.4,19.45,19.45,19.85,19.9,20.4,19.35,19.85,20.4,19.3,0,T1,T6,T8,Probe Not Inserted,None,None,131071
5,2182780059,1,20,20.3,20.1,20.6,20.75,21.55,20.75,20.6,20,21.55,21.55,19.6,0,T1,T6,T6,Probe Not Inserted,None,None,131071
10,2182780059,2,19.95,20.2,20.3,20.7,21.35,22.9,22.25,20.75,19.95,21.35,22.9,19.8,0,T1,T5,T6,Probe Not Inserted,None,None,131071
15,2182780059,3,19.9,20.05,20.25,20.7,21.85,23.75,23.5,20.7,19.9,21.85,23.75,19.8,0,T1,T5,T6,Probe Not Inserted,None,None,131071
20,2182780059,4,19.9,20.05,20.25,20.7,21.95,23.85,23.7,20.65,19.9,21.95,23.85,19.8,0,T1,T5,T6,Probe Not Inserted,None,None,131071
25,2182780059,5,19.9,20.05,20.3,20.7,21.85,23.55,23.5,20.85,19.9,21.85,23.55,19.9,0,T1,T5,T6,Probe Not Inserted,None,None,131071
30,2182780059,6,19.95,20.1,20.35,20.75,21.85,23.35,23.45,20.95,19.95,21.85,23.45,19.9,0,T1,T5,T7,Probe Not Inserted,None,None,131071
35,2182780059,7,20.05,20.8,20.95,21.65,22.3,23.7,23.55,20.95,20.05,22.3,23.7,20,0,T1,T5,T6,Probe Not Inserted,None,None,131071
40,2182780059,8,19.95,20.4,20.8,21.35,22.6,23.85,23.65,21.2,19.95,22.6,23.85,19.9,0,T1,T5,T6,Probe Not Inserted,None,None,131071
45,2182780059,9,19.75,19.95,20.35,20.85,22.5,23.5,23.7,21.4,19.75,22.5,23.7,19.8,0,T1,T5,T7,Probe Not Inserted,None,None,131071
50,2182780059,10,20.45,20.1,20.55,21.95,22.2,23.05,23.7,21.9,20.1,22.2,23.7,20,0,T2,T5,T7,Probe Not Inserted,None,None,131071
55,2182780059,11,22.8,22.6,22.75,24.9,23.4,23.1,23.45,22,22.6,23.4,22,21.3,0,T2,T5,T8,Probe Not Inserted,None,None,131071
60,2182780059,12,23.7,23.5,23.75,25.6,24.2,23.2,23.2,22.25,23.5,24.2,22.25,22.4,0,T2,T5,T8,Probe Not Inserted,None,None,131071
65,2182780059,13,24.3,24,24.1,25.45,24.6,23.55,23.15,22.25,24,24.6,22.25,23.2,0,T2,T5,T8,Probe Not Inserted,None,None,131071
70,2182780059,14,24.45,25.55,24.7,25.5,24.8,24.1,23.5,22.4,25.55,24.8,22.4,24.3,0,T2,T5,T8,Probe Not Inserted,None,None,131071
75,2182780059,15,24.7,26.1,25.3,25.8,24.95,24.5,23.75,22.65,26.1,24.95,22.65,25.2,0,T2,T5,T8,Probe Not Inserted,None,None,131071
80,2182780059,16,25.2,26.3,25.95,26.45,25.15,24.9,24.1,22.7,26.3,25.15,22.7,25.8,0,T2,T5,T8,Probe Not Inserted,None,None,131071
85,2182780059,17,25.65,26.35,26.45,26.7,25.4,25.15,24.45,22.9,26.35,25.4,22.9,26,0,T2,T5,T8,Probe Not Inserted,None,None,131071
90,2182780059,18,25.85,26.45,26.7,27,25.55,25.25,24.6,22.7,26.45,25.55,22.7,26.2,0,T2,T5,T8,Probe Not Inserted,None,None,131071
95,2182780059,19,26.1,26.8,27.05,27.3,25.55,25.05,24.55,22.8,26.8,25.55,22.8,26.5,0,T2,T5,T8,Probe Not Inserted,None,None,131071
100,2182780059,20,26.3,27.05,27.3,27.5,25.65,25,24.4,22.8,27.05,25.65,22.8,26.8,0,T2,T5,T8,Probe Not Inserted,None,None,131071
105,2182780059,21,26.3,26.85,27.25,27.6,25.65,24.8,24.2,23.3,26.85,25.65,23.3,26.8,0,T2,T5,T8,Probe Not Inserted,None,None,131071
110,2182780059,22,26.6,27.1,27.5,27.75,25.7,24.75,24.05,23.4,27.1,25.7,23.4,26.9,0,T2,T5,T8,Probe Not Inserted,None,None,131071
