Combustion Inc. Probe Data,,,,,,,,,,,,,,,,,,,,,,,
App: iOS Prod app 3.2.0,,,,,,,,,,,,,,,,,,,,,,,
CSV version: 4,,,,,,,,,,,,,,,,,,,,,,,
Probe S/N: 1000BA3C,,,,,,,,,,,,,,,,,,,,,,,
Probe FW version: v2.2.3,,,,,,,,,,,,,,,,,,,,,,,
Probe HW revision: v1.1-A1,,,,,,,,,,,,,,,,,,,,,,,
Framework: iOS,,,,,,,,,,,,,,,,,,,,,,,
Sample Period: 5000,,,,,,,,,,,,,,,,,,,,,,,
Created: 2026-01-13 11:35:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,,SessionID,SequenceNumber,T1,T2,T3,T4,T5,T6,T7,T8,VirtualCoreTemperature,VirtualSurfaceTemperature,VirtualAmbientTemperature,EstimatedCoreTemperature,PredictionSetPoint,VirtualCoreSensor,VirtualSurfaceSensor,VirtualAmbientSensor,PredictionState,PredictionMode,PredictionType,PredictionValueSeconds
0,00:00,1524676334,16,31.3,30.95,30.5,30.9,30.15,29.85,29.45,29.45,31.3,29.85,29.45,30.6,0,T1,T6,T8,Probe Inserted,None,None,131071
5,00:05,1524676334,17,34.5,34.25,33.95,33.85,31.75,31.1,30.45,29.7,34.5,31.1,29.7,32.5,0,T1,T6,T8,Probe Inserted,None,None,131071
10,00:10,1524676334,18,35,34.85,34.65,34.45,33.1,32.35,31.5,30,35,32.35,30,33.7,0,T1,T6,T8,Probe Inserted,None,None,131071
15,00:15,1524676334,19,35.35,35.15,34.95,34.85,33.8,33.25,32.15,30.15,35.35,33.25,30.15,34.5,0,T1,T6,T8,Probe Inserted,None,None,131071
20,00:20,1524676334,20,35.55,35.35,35.25,35.05,34.45,33.95,32.75,30.55,35.55,33.95,30.55,35,0,T1,T6,T8,Probe Inserted,None,None,131071
25,00:25,1524676334,21,35.8,35.55,35.4,35.25,34.85,34.4,33.25,31,35.8,34.4,31,35.4,0,T1,T6,T8,Probe Inserted,None,None,131071
30,00:30,1524676334,22,36.05,35.7,35.55,35.4,35.1,34.75,33.6,31.4,36.05,34.75,31.4,35.7,0,T1,T6,T8,Probe Inserted,None,None,131071
35,00:35,1524676334,23,36.2,35.85,35.7,35.5,35.35,34.95,33.9,31.7,36.2,34.95,31.7,35.9,0,T1,T6,T8,Probe Inserted,None,None,131071
40,00:40,1524676334,24,36.35,35.9,35.75,35.6,35.45,35.15,34.15,32.1,36.35,35.15,32.1,36.1,0,T1,T6,T8,Probe Inserted,None,None,131071
45,00:45,1524676334,25,36.5,36,35.85,35.7,35.55,35.2,34.25,32.45,36.5,35.2,32.45,36.3,0,T1,T6,T8,Probe Inserted,None,None,131071
50,00:50,1524676334,26,36.55,36.05,35.95,35.75,35.7,35.4,34.5,32.85,36.55,35.4,32.85,36.4,0,T1,T6,T8,Probe Inserted,None,None,131071
55,00:55,1524676334,27,36.65,36.15,36,35.8,35.7,35.45,34.6,33.1,36.65,35.45,33.1,36.5,0,T1,T6,T8,Probe Inserted,None,None,131071
60,01:00,1524676334,28,36.75,36.2,36.05,35.85,35.8,35.5,34.75,33.45,36.75,35.5,33.45,36.6,0,T1,T6,T8,Probe Inserted,None,None,131071
65,01:05,1524676334,29,36.8,36.25,36.1,35.9,35.9,35.6,34.75,33.75,36.8,35.6,33.75,36.7,0,T1,T6,T8,Probe Inserted,None,None,131071
70,01:10,1524676334,30,36.85,36.3,36.1,35.95,35.9,35.6,34.95,34.05,36.85,35.6,34.05,36.8,0,T1,T6,T8,Probe Inserted,None,None,131071
75,01:15,1524676334,31,36.9,36.35,36.2,36,35.95,35.65,35.05,34.3,36.9,35.65,34.3,36.8,0,T1,T6,T8,Probe Inserted,None,None,131071
80,01:20,1524676334,32,36.95,36.4,36.2,36.05,36,35.75,35.15,34.6,36.95,35.75,34.6,36.9,0,T1,T6,T8,Probe Inserted,None,None,131071
85,01:25,1524676334,33,37,36.45,36.25,36.1,35.95,35.75,35.2,34.75,37,35.75,34.75,36.9,0,T1,T6,T8,Probe Inserted,None,None,131071
90,01:30,1524676334,34,37.05,36.5,36.3,36.1,36.05,35.75,35.3,34.95,37.05,35.75,34.95,37,0,T1,T6,T8,Probe Inserted,None,None,131071
